STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,5-Nov-20,1.532,1.521,1.51,100.524,100.527,100.53,0.276,0.152,0,0,0,-0.005,-0.005,-0.005,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,5-Nov-20,1.67,1.659,1.648,101.706,101.714,101.722,0.677,0.799,0,0,0,-0.007,-0.007,-0.007,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,5-Nov-20,1.65,1.639,1.628,102.136,102.146,102.156,0.884,1.223,0.001,0.001,0.001,-0.007,-0.007,-0.007,5
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,5-Nov-20,1.735,1.724,1.713,101.985,101.997,102.009,1.033,1.6,0.04,0.04,0.04,-0.048,-0.048,-0.048,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,5-Nov-20,1.757,1.746,1.735,102.812,102.826,102.841,1.306,2.375,-0.008,-0.008,-0.008,0.006,0.005,0.005,4.7
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,5-Nov-20,1.633,1.622,1.611,103.113,103.133,103.153,1.714,3.843,-0.021,-0.021,-0.021,0.033,0.033,0.033,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,5-Nov-20,1.783,1.772,1.761,103.744,103.765,103.786,1.831,4.319,-0.023,-0.023,-0.023,0.04,0.04,0.04,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,5-Nov-20,1.858,1.847,1.836,103.725,103.75,103.776,2.256,6.322,-0.024,-0.024,-0.024,0.052,0.051,0.052,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,5-Nov-20,1.966,1.955,1.944,104.273,104.3,104.327,2.345,6.782,0.052,0.052,0.052,-0.133,-0.133,-0.133,4.3
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,5-Nov-20,1.92,1.909,1.898,105.07,105.1,105.131,2.625,8.415,-0.012,-0.012,-0.012,0.031,0.031,0.031,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,5-Nov-20,2.128,2.117,2.106,104.661,104.7,104.739,3.347,13.361,0.089,0.089,0.089,-0.319,-0.319,-0.319,4.7
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,5-Nov-20,2.099,2.088,2.077,107.359,107.4,107.441,3.395,13.784,0.064,0.064,0.064,-0.241,-0.241,-0.24,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,5-Nov-20,2.137,2.126,2.115,107.157,107.2,107.243,3.606,15.357,0.166,0.166,0.166,-0.65,-0.65,-0.65,4
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,5-Nov-20,2.204,2.188,2.172,106.931,107,107.069,3.998,18.745,0.043,0.043,0.043,-0.19,-0.19,-0.19,3.3
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,5-Nov-20,2.263,2.237,2.211,111.398,111.521,111.644,4.181,20.787,0.058,0.058,0.058,-0.278,-0.278,-0.278,1.7
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,5-Nov-20,2.22,2.209,2.198,107.947,108,108.053,4.413,22.741,0.061,0.061,0.061,-0.299,-0.3,-0.299,5
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,5-Nov-20,2.307,2.291,2.275,110.606,110.692,110.778,4.866,27.614,0.056,0.056,0.056,-0.307,-0.308,-0.309,3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,5-Nov-20,2.311,2.3,2.289,108.46,108.521,108.582,5.071,30.049,0.049,0.049,0.049,-0.278,-0.279,-0.279,4.3
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,5-Nov-20,2.509,2.488,2.467,111.915,112.036,112.158,5.139,31.01,0.044,0.044,0.044,-0.259,-0.26,-0.26,2.3
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,5-Nov-20,2.389,2.378,2.367,108.485,108.55,108.615,5.344,33.496,0.006,0.006,0.006,-0.041,-0.04,-0.04,4.3
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,5-Nov-20,2.609,2.588,2.567,107.472,107.599,107.727,5.623,36.69,0.034,0.034,0.034,-0.208,-0.209,-0.209,2.7
MX070003,MYBMX0700034,MGS 3/2007 3.502% 31.05.2027,5-Nov-20,2.5,2.489,2.478,106.032,106.1,106.169,5.785,38.986,0.031,0.031,0.031,-0.199,-0.2,-0.2,5
MO170004,MYBMO1700040,MGS 4/2017 3.899% 16.11.2027,5-Nov-20,2.478,2.467,2.456,109.118,109.192,109.267,6.081,43.414,0.031,0.031,0.031,-0.207,-0.208,-0.207,4.7
MS130005,MYBMS1300057,MGS 5/2013 3.733% 15.06.2028,5-Nov-20,2.621,2.61,2.599,107.621,107.7,107.779,6.56,50.294,-0.01,-0.01,-0.01,0.069,0.069,0.069,4
MX080003,MYBMX0800032,MGS 3/2008 5.248% 15.09.2028,5-Nov-20,2.668,2.657,2.646,118.177,118.263,118.348,6.539,50.809,0.033,0.033,0.033,-0.266,-0.266,-0.267,4
MO190002,MYBMO1900020,MGS 2/2019 3.885% 15.08.2029,5-Nov-20,2.809,2.798,2.787,108.317,108.406,108.495,7.418,64.418,0.085,0.085,0.085,-0.688,-0.689,-0.69,5
MX100003,MYBMX1000038,MGS 3/2010 4.498% 15.04.2030,5-Nov-20,2.814,2.803,2.792,113.877,113.975,114.073,7.794,71.706,0.036,0.036,0.036,-0.324,-0.325,-0.325,4
MO200002,MYBMO2000028,MGS 2/2020 2.632% 15.04.2031,5-Nov-20,2.714,2.698,2.682,99.256,99.4,99.545,9.038,93.243,0.039,0.039,0.039,-0.35,-0.35,-0.351,3.7
MX110004,MYBMX1100044,MGS 4/2011 4.232% 30.06.2031,5-Nov-20,2.893,2.882,2.871,112.202,112.309,112.416,8.577,88.023,0.04,0.04,0.04,-0.39,-0.391,-0.392,4
MX120004,MYBMX1200042,MGS 4/2012 4.127% 15.04.2032,5-Nov-20,2.972,2.956,2.94,111.132,111.297,111.461,9.215,100.851,0.047,0.047,0.047,-0.484,-0.484,-0.486,3.7
MX130004,MYBMX1300040,MGS 4/2013 3.844% 15.04.2033,5-Nov-20,3.214,3.203,3.192,106.422,106.538,106.655,9.916,117.102,0.058,0.058,0.058,-0.609,-0.61,-0.611,4
MT180003,MYBMT1800039,MGS 3/2018 4.642% 07.11.2033,5-Nov-20,3.207,3.191,3.175,115.161,115.345,115.53,9.8,118.84,0.061,0.061,0.061,-0.714,-0.716,-0.717,3.7
