STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,16-OCT-2020,1.462,1.45,1.438,100.65,100.654,100.658,.33,.218,-.013,-.013,-.013,-.001,-.001,-.001,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,16-OCT-2020,1.471,1.459,1.447,101.989,101.998,102.007,.732,.904,-.001,-.001,-.001,-.007,-.007,-.007,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,16-OCT-2020,1.524,1.512,1.5,102.386,102.398,102.41,.939,1.352,-.015,-.015,-.015,.008,.008,.008,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,16-OCT-2020,1.556,1.544,1.532,102.287,102.3,102.314,1.088,1.744,-.01,-.01,-.01,.007,.006,.006,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,16-OCT-2020,1.619,1.607,1.595,103.12,103.137,103.154,1.362,2.552,-.013,-.013,-.013,.011,.012,.012,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,16-OCT-2020,1.728,1.716,1.704,103.032,103.054,103.076,1.767,4.054,-.011,-.011,-.011,.015,.015,.015,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,16-OCT-2020,1.744,1.732,1.72,103.926,103.95,103.973,1.886,4.55,-.013,-.013,-.013,.02,.02,.019,4.7
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,16-OCT-2020,1.792,1.78,1.768,103.971,104,104.029,2.312,6.604,-.008,-.008,-.008,.015,.015,.015,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,16-OCT-2020,1.805,1.793,1.781,104.77,104.8,104.83,2.359,6.954,.026,.026,.026,-.071,-.071,-.072,4.7
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,16-OCT-2020,1.828,1.816,1.804,105.427,105.461,105.495,2.681,8.736,-.005,-.005,-.005,.011,.011,.011,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,16-OCT-2020,1.9,1.888,1.876,105.553,105.597,105.641,3.406,13.789,0,0,0,-.003,-.003,-.003,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,16-OCT-2020,1.969,1.957,1.945,107.952,107.997,108.042,3.452,14.201,.001,.001,.001,-.007,-.007,-.007,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,16-OCT-2020,1.985,1.973,1.961,107.852,107.9,107.947,3.664,15.808,-.001,-.001,-.001,0,0,-.001,4
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,16-OCT-2020,2.085,2.068,2.051,107.537,107.612,107.686,4.056,19.241,.006,.006,.006,-.028,-.028,-.028,3.3
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,16-OCT-2020,2.131,2.104,2.077,112.151,112.281,112.411,4.239,21.304,.007,.007,.007,-.045,-.045,-.045,1.7
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,16-OCT-2020,2.085,2.073,2.061,108.692,108.75,108.809,4.472,23.297,.01,.01,.01,-.05,-.05,-.05,5
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,16-OCT-2020,2.268,2.251,2.234,110.92,111.012,111.105,4.922,28.188,.013,.013,.013,-.077,-.078,-.078,3.3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,16-OCT-2020,2.24,2.228,2.216,108.932,109,109.068,5.128,30.655,.018,.018,.018,-.107,-.106,-.106,4.3
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,16-OCT-2020,2.358,2.336,2.314,112.905,113.035,113.165,5.201,31.673,.014,.014,.014,-.091,-.091,-.091,2.7
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,16-OCT-2020,2.335,2.323,2.311,108.878,108.95,109.022,5.401,34.128,-.001,-.001,-.001,0,0,0,4.3
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,16-OCT-2020,2.458,2.436,2.414,108.462,108.598,108.734,5.685,37.419,.012,.012,.012,-.076,-.076,-.077,2.7
MX070003,MYBMX0700034,MGS 3/2007 3.502% 31.05.2027,16-OCT-2020,2.35,2.338,2.326,107.024,107.1,107.176,5.848,39.739,.007,.007,.007,-.05,-.05,-.05,5
MO170004,MYBMO1700040,MGS 4/2017 3.899% 16.11.2027,16-OCT-2020,2.402,2.39,2.378,109.695,109.777,109.859,6.139,44.153,-.012,-.012,-.012,.077,.077,.077,4.7
MS130005,MYBMS1300057,MGS 5/2013 3.733% 15.06.2028,16-OCT-2020,2.478,2.466,2.454,108.712,108.8,108.887,6.624,51.161,.033,.033,.033,-.237,-.237,-.238,4.7
MX080003,MYBMX0800032,MGS 3/2008 5.248% 15.09.2028,16-OCT-2020,2.527,2.515,2.503,119.405,119.5,119.595,6.605,51.694,-.039,-.039,-.039,.299,.3,.3,4
MO190002,MYBMO1900020,MGS 2/2019 3.885% 15.08.2029,16-OCT-2020,2.64,2.628,2.616,109.751,109.85,109.95,7.488,65.461,-.009,-.009,-.009,.075,.075,.076,5
MX100003,MYBMX1000038,MGS 3/2010 4.498% 15.04.2030,16-OCT-2020,2.682,2.67,2.658,115.141,115.25,115.359,7.863,72.79,-.01,-.01,-.01,.09,.09,.091,4
MO200002,MYBMO2000028,MGS 2/2020 2.632% 15.04.2031,16-OCT-2020,2.611,2.579,2.547,100.196,100.49,100.783,9.105,94.468,2.611,2.579,2.547,100.196,100.49,100.783,0
MX110004,MYBMX1100044,MGS 4/2011 4.232% 30.06.2031,16-OCT-2020,2.713,2.701,2.689,114.03,114.15,114.27,8.657,89.379,-.094,-.094,-.094,.926,.927,.928,4
MX120004,MYBMX1200042,MGS 4/2012 4.127% 15.04.2032,16-OCT-2020,2.852,2.835,2.818,112.429,112.606,112.784,9.289,102.2,-.148,-.148,-.148,1.532,1.534,1.537,3.7
MX130004,MYBMX1300040,MGS 4/2013 3.844% 15.04.2033,16-OCT-2020,2.989,2.977,2.965,108.866,108.997,109.128,10.013,118.954,-.079,-.079,-.079,.859,.86,.861,4
MT180003,MYBMT1800039,MGS 3/2018 4.642% 07.11.2033,16-OCT-2020,3.083,3.071,3.059,116.659,116.8,116.941,9.881,120.401,-.034,-.034,-.034,.4,.401,.401,4.3
MS190004,MYBMS1900047,MGS 4/2019 3.828% 05.07.2034,16-OCT-2020,3.042,3.03,3.018,108.759,108.9,109.041,10.585,135.828,-.013,-.013,-.013,.148,.148,.149,5
MY150004,MYBMY1500043,MGS 4/2015 4.254% 31.05.2035,16-OCT-2020,3.354,3.332,3.31,110.332,110.6,110.87,10.899,147.032,-.004,-.004,-.004,.044,.043,.044,2.7
MX170003,MYBMX1700033,MGS 3/2017 4.762% 07.04.2037,16-OCT-2020,3.372,3.355,3.338,117.464,117.7,117.937,11.82,175.031,.012,.012,.012,-.166,-.167,-.168,3
MX180004,MYBMX1800049,MGS 4/2018 4.893% 08.06.2038,16-OCT-2020,3.541,3.524,3.507,117.622,117.868,118.115,12.117,189.232,.055,.055,.055,-.808,-.81,-.812,3.7
MY190005,MYBMY1900052,MGS 5/2019 3.757% 22.05.2040,16-OCT-2020,3.37,3.358,3.346,105.522,105.7,105.877,13.534,234.64,.054,.054,.054,-.8,-.8,-.803,4.7
MZ130007,MYBMZ1300078,MGS 7/2013 4.935% 30.09.2043,16-OCT-2020,3.889,3.872,3.855,115.793,116.076,116.361,14.366,276.526,.024,.024,.024,-.39,-.392,-.392,3.3
MZ160002,MYBMZ1600022,MGS 2/2016 4.736% 15.03.2046,16-OCT-2020,3.873,3.856,3.839,113.882,114.182,114.482,15.388,322.648,.006,.006,.006,-.107,-.106,-.107,3.3
MZ180005,MYBMZ1800051,MGS 5/2018 4.921% 06.07.2048,16-OCT-2020,3.975,3.958,3.941,115.795,116.11,116.427,15.819,352.234,-.012,-.012,-.012,.208,.208,.21,3.7
MZ200001,MYBMZ2000016,MGS 1/2020 4.065% 15.06.2050,16-OCT-2020,3.822,3.81,3.798,104.282,104.5,104.719,16.352,381.088,-.028,-.028,-.028,.5,.5,.502,4.3
PZ00197S,MYBPZ00197S6,BPIMB RM500 Million 7.500% 30.10.2025,16-OCT-2020,2.436,2.391,2.346,112.227,112.347,112.467,2.304,9.195,-.001,-.001,-.001,-.01,-.011,-.011,0
DZ012851,MYBDZ0128511,TENAGA IBONDS 0.00000% 13.12.2021,16-OCT-2020,2.19,2.133,2.076,105.578,105.645,105.713,1.097,1.783,-.009,-.009,-.009,-.002,-.003,-.003,0
DZ021250,MYBDZ0212505,GDC PUTRA 0.00000% 02.12.2022,16-OCT-2020,2.475,2.418,2.361,109.837,109.962,110.087,1.946,4.959,0,0,0,-.012,-.012,-.012,0
GN100060,MYBGN1000601,PROFIT-BASED GII 6/2010 30.11.2020,16-OCT-2020,1.622,1.596,1.57,100.287,100.29,100.293,.122,.03,-.017,-.017,-.017,-.004,-.004,-.005,2.3
GN110025,MYBGN1100252,PROFIT-BASED GII 3/2011 30.04.2021,16-OCT-2020,1.519,1.503,1.487,101.425,101.434,101.443,.524,.54,-.017,-.017,-.017,.002,.002,.002,4.3
GN11025A,MYBGN11025A9,PROFIT-BASED GII 3/2011 30.04.2021,16-OCT-2020,1.534,1.503,1.472,101.417,101.434,101.451,.524,.54,-.017,-.017,-.017,.002,.002,.002,1.7
GO120037,MYBGO1200373,PROFIT-BASED GII 4/2012 15.11.2022,16-OCT-2020,1.8,1.774,1.748,103.862,103.917,103.971,1.977,5.01,.001,.001,.001,-.007,-.006,-.007,2
GO12037A,MYBGO12037A2,PROFIT-BASED GII 4/2012 15.11.2022,16-OCT-2020,1.81,1.774,1.738,103.842,103.917,103.992,1.977,5.01,.001,.001,.001,-.006,-.006,-.007,0
GO130033,MYBGO1300330,PROFIT-BASED GII 2/2013 31.10.2023,16-OCT-2020,1.901,1.88,1.859,104.682,104.746,104.809,2.844,9.834,.008,.008,.008,-.027,-.027,-.027,3.3
GS12059A,MYBGS12059A2,PROFIT-BASED GII 5/2012 15.06.2027,16-OCT-2020,2.412,2.381,2.35,109.098,109.298,109.498,5.832,39.721,-.003,-.003,-.003,.013,.013,.013,1.7
GS120059,MYBGS1200598,PROFIT-BASED GII 5/2012 15.06.2027,16-OCT-2020,2.402,2.381,2.36,109.163,109.298,109.434,5.832,39.721,-.003,-.003,-.003,.014,.013,.014,3
GT130001,MYBGT1300016,PROFIT-BASED GII 1/2013 08.08.2028,16-OCT-2020,2.618,2.597,2.576,108.795,108.95,109.105,6.735,52.795,-.06,-.06,-.06,.435,.436,.436,3.3
VR061774,MYBVR0617744,JEV IMTN 0% 12.11.2020,16-OCT-2020,2.583,2.501,2.419,100.477,100.483,100.49,.073,.011,-.01,-.01,-.01,-.017,-.018,-.017,0
VS060699,MYBVS0606992,JEV IMTN 0% 12.11.2020,16-OCT-2020,2.583,2.501,2.419,100.466,100.473,100.479,.073,.011,-.01,-.01,-.01,-.017,-.016,-.017,0
VR070345,MYBVR0703452,JEV IMTN 0% 12.11.2020,16-OCT-2020,2.573,2.501,2.429,100.489,100.494,100.5,.073,.011,-.01,-.01,-.01,-.017,-.018,-.018,2.7
VQ070898,MYBVQ0708982,JEV IMTN 0% 12.11.2020,16-OCT-2020,2.573,2.501,2.429,100.492,100.498,100.503,.073,.011,-.01,-.01,-.01,-.018,-.018,-.018,2.3
VQ080767,MYBVQ0807677,JEV IMTN 0% 12.11.2020,16-OCT-2020,2.583,2.501,2.419,100.495,100.502,100.508,.073,.011,-.01,-.01,-.01,-.018,-.017,-.018,0
VR070899,MYBVR0708998,JEV IMTN 0% 12.05.2021,16-OCT-2020,2.619,2.547,2.475,103.83,103.873,103.915,.545,.576,-.01,-.01,-.01,-.012,-.012,-.012,2.3
VS061776,MYBVS0617767,JEV IMTN 0% 12.05.2021,16-OCT-2020,2.614,2.547,2.48,103.748,103.788,103.827,.545,.576,-.01,-.01,-.01,-.012,-.012,-.012,3
VR070346,MYBVR0703460,JEV IMTN 0% 12.05.2021,16-OCT-2020,2.629,2.547,2.465,103.796,103.844,103.893,.545,.576,-.01,-.01,-.01,-.012,-.012,-.012,0
VQ080768,MYBVQ0807685,JEV IMTN 0% 12.05.2021,16-OCT-2020,2.628,2.546,2.464,103.881,103.93,103.978,.544,.576,-.011,-.011,-.011,-.012,-.012,-.012,0
VR080769,MYBVR0807691,JEV IMTN 0% 12.11.2021,16-OCT-2020,2.743,2.661,2.579,107.148,107.238,107.329,.996,1.532,-.009,-.009,-.009,-.007,-.008,-.009,0
VR070900,MYBVR0709004,JEV IMTN 0% 12.11.2021,16-OCT-2020,2.743,2.661,2.579,107.043,107.133,107.224,.997,1.533,-.009,-.009,-.009,-.007,-.008,-.008,0
VS070347,MYBVS0703476,JEV IMTN 0% 12.11.2021,16-OCT-2020,2.743,2.661,2.579,106.99,107.081,107.172,.997,1.533,-.009,-.009,-.009,-.007,-.007,-.008,0
